Timestamp_Unix,Timestamp_Ms,Signal_Raw,Intent_Label,Label_Class
1771771163.924323082,6.849,500.0000,REST,0
1771771163.932020903,14.548,1091.3769,REST,0
1771771163.935959101,18.485,1192.5310,REST,0
1771771163.943982124,26.508,1117.0195,REST,0
1771771163.947835922,30.363,1019.7588,REST,0
1771771163.956769943,39.296,940.6934,REST,0
1771771163.960652113,43.179,834.5894,REST,0
1771771163.968358994,50.885,728.1812,REST,0
1771771163.972242832,54.769,684.4561,REST,0
1771771163.981135845,63.663,622.0327,REST,0
1771771163.984999895,67.526,537.2627,REST,0
1771771163.993818998,76.345,471.9131,REST,0
1771771163.997695923,80.222,398.2232,REST,0
1771771164.005407095,87.933,297.6924,REST,0
1771771164.009274006,91.800,266.7808,REST,0
1771771164.017877102,100.403,226.5156,REST,0
1771771164.021828175,104.354,205.3574,REST,0
1771771164.030786037,113.312,196.2207,REST,0
1771771164.034660101,117.186,179.5874,REST,0
1771771164.042380095,124.906,134.2725,REST,0
1771771164.046219110,128.745,124.9766,REST,0
1771771164.055130959,137.657,120.4419,REST,0
1771771164.058982849,141.509,92.8931,REST,0
1771771164.066709995,149.236,42.0962,REST,0
1771771164.070559025,153.086,22.7366,REST,0
1771771164.079492092,162.018,-17.7910,REST,0
1771771164.083321095,165.847,-73.2900,REST,0
1771771164.092243910,174.770,-77.8591,REST,0
1771771164.096122026,178.648,-85.5149,REST,0
1771771164.103280067,185.806,-148.7432,REST,0
1771771164.108438015,190.964,-179.8315,REST,0
1771771164.115527868,198.055,-153.4812,REST,0
1771771164.120615005,203.141,-178.9800,REST,0
1771771164.127812147,210.338,-190.6594,REST,0
1771771164.132915020,215.441,-146.0898,REST,0
1771771164.140095949,222.622,-117.5945,REST,0
1771771164.145317078,227.844,-107.3682,REST,0
1771771164.152356148,234.883,-73.4900,REST,0
1771771164.157502890,240.029,-57.6772,REST,0
1771771164.164687872,247.214,-39.0093,REST,0
1771771164.169849157,252.375,-10.3821,REST,0
1771771164.176923990,259.450,-4.3911,REST,0
1771771164.182276011,264.802,-29.1794,REST,0
1771771164.189189911,271.716,-37.9580,REST,0
1771771164.194316149,276.842,6.1746,REST,0
1771771164.201471090,283.997,21.2329,REST,0
1771771164.206650019,289.176,-8.6140,REST,0
1771771164.210516930,293.044,19.8933,REST,0
1771771164.218178034,300.704,87.2559,REST,0
1771771164.222053051,304.579,161.3538,REST,0
1771771164.230949879,313.476,356.5735,REST,0
1771771164.234824896,317.351,501.0647,REST,0
1771771164.243682146,326.208,475.9509,REST,0
1771771164.247561932,330.088,416.8235,REST,0
1771771164.255170107,337.696,346.4605,REST,0
1771771164.259023190,341.549,223.4690,REST,0
1771771164.267946005,350.472,131.8874,REST,0
1771771164.271824837,354.351,59.2944,REST,0
1771771164.279512167,362.038,-15.4839,REST,0
1771771164.284636974,367.163,-104.1631,REST,0
1771771164.292218208,374.744,-182.4236,REST,0
1771771164.296090841,378.617,-269.1790,REST,0
1771771164.305047989,387.574,-366.0137,REST,0
1771771164.308917999,391.444,-452.0603,REST,0
1771771164.316591024,399.117,-486.4065,REST,0
1771771164.320440054,402.966,-578.7503,REST,0
1771771164.329452038,411.978,-637.3098,REST,0
1771771164.333361864,415.888,-670.6817,REST,0
1771771164.341028214,423.554,-732.6343,REST,0
1771771164.346233130,428.759,-773.5200,REST,0
1771771164.353864908,436.391,-763.3530,REST,0
1771771164.357680082,440.206,-835.7996,REST,0
1771771164.366583109,449.109,-906.8591,REST,0
1771771164.370458126,452.984,-925.1218,REST,0
1771771164.378098965,460.625,-938.2805,REST,0
1771771164.382004023,464.531,-990.8572,REST,0
1771771164.390925169,473.451,-985.9771,REST,0
1771771164.394757986,477.284,-982.8770,REST,0
1771771164.403424025,485.950,-1044.9472,REST,0
1771771164.407311201,489.837,-1065.9052,REST,0
1771771164.414820194,497.346,-1112.1622,REST,0
1771771164.418648005,501.174,-1204.9726,REST,0
1771771164.427624941,510.151,-1241.2340,REST,0
1771771164.431449175,513.975,-1221.3557,REST,0
1771771164.440386057,522.912,-1227.1470,REST,0
1771771164.444278002,526.804,-1291.3985,REST,0
1771771164.451987982,534.515,-1302.5627,REST,0
1771771164.455879927,538.406,-1284.2170,REST,0
1771771164.464714050,547.241,-1329.6441,REST,0
1771771164.468559027,551.085,-1338.3957,REST,0
1771771164.476244926,558.771,-1311.7318,REST,0
1771771164.484122992,566.650,-1377.6557,REST,0
1771771164.489322901,571.849,-1416.5780,REST,0
1771771164.496335030,578.861,-1373.2089,REST,0
1771771164.501374006,583.900,-1335.5742,REST,0
1771771164.508636951,591.163,-1362.2364,REST,0
1771771164.513786077,596.312,-1357.7216,REST,0
1771771164.520964146,603.491,-1325.4007,REST,0
1771771164.526192904,608.719,-1344.0451,REST,0
1771771164.533253193,615.779,-1323.0921,REST,0
1771771164.538393021,620.919,-1323.7320,REST,0
1771771164.545620918,628.148,-1369.0776,REST,0
1771771164.550785065,633.311,-1355.0891,REST,0
1771771164.557861090,640.387,-1342.2425,REST,0
1771771164.562798023,645.324,-1340.6984,REST,0
1771771164.570132017,652.658,-1332.7429,REST,0
1771771164.575249910,657.776,-1310.3406,REST,0
1771771164.582468033,664.994,-1334.0742,REST,0
1771771164.587598085,670.124,-1328.1867,REST,0
1771771164.594714165,677.240,-1280.0118,REST,0
1771771164.599817038,682.343,-1343.2131,REST,0
1771771164.607046843,689.573,-1330.7570,REST,0
1771771164.612226009,694.752,-1208.0834,REST,0
1771771164.619280815,701.807,-1182.7792,REST,0
1771771164.624508858,707.035,-1218.4467,REST,0
1771771164.631592989,714.119,-1234.4852,REST,0
1771771164.636685133,719.212,-1244.4128,REST,0
1771771164.643942833,726.469,-1301.7933,REST,0
1771771164.649116993,731.643,-1285.3322,REST,0
1771771164.656245947,738.772,-1257.1644,REST,0
1771771164.661397934,743.924,-1291.4935,REST,0
1771771164.668457985,750.984,-1333.6396,REST,0
